"Season","Game_ID","Game_Date","Team","Location","Wins_Entering_Gm","Losses_Entering_Gm","Team_Minutes","Final_Score","Lead_Changes","Ties","Largest_Lead","Full_Timeouts","Short_Timeouts","Qtr_4_Score","L2M_Score","Weekday"
"2016-17",21600001,2016-10-25,"CLE","H",0,0,240,117,1,3,32,4,1,82,113,2
"2016-17",21600001,2016-10-25,"NYK","A",0,0,240,88,0,1,4,4,2,64,84,2
"2016-17",21600002,2016-10-25,"POR","H",0,0,240,113,6,6,13,5,0,77,104,2
"2016-17",21600002,2016-10-25,"UTA","A",0,0,240,104,5,1,8,5,2,83,102,2
"2016-17",21600003,2016-10-25,"GSW","H",0,0,240,100,1,2,4,3,1,77,100,2
"2016-17",21600003,2016-10-25,"SAS","A",0,0,240,129,1,1,29,5,1,97,122,2
"2016-17",21600004,2016-10-26,"MIA","A",0,0,240,108,7,6,19,4,1,80,104,3
"2016-17",21600004,2016-10-26,"ORL","H",0,0,240,96,7,7,7,4,2,69,92,3
"2016-17",21600005,2016-10-26,"DAL","A",0,0,265,121,2,7,1,7,4,85,110,3
"2016-17",21600005,2016-10-26,"IND","H",0,0,265,130,2,1,14,5,2,94,110,3
"2016-17",21600006,2016-10-26,"BOS","H",0,0,240,122,1,0,23,4,3,97,118,3
"2016-17",21600006,2016-10-26,"BKN","A",0,0,240,117,1,1,4,5,3,81,110,3
"2016-17",21600007,2016-10-26,"TOR","H",0,0,240,109,1,1,20,4,0,86,106,3
"2016-17",21600007,2016-10-26,"DET","A",0,0,240,91,0,1,7,4,2,71,89,3
"2016-17",21600008,2016-10-26,"MIL","H",0,0,240,96,0,2,0,4,1,66,89,3
"2016-17",21600008,2016-10-26,"CHA","A",0,0,240,107,0,0,24,4,1,83,101,3
"2016-17",21600009,2016-10-26,"MIN","A",0,0,240,98,5,0,17,5,2,75,90,3
"2016-17",21600009,2016-10-26,"MEM","H",0,0,240,102,6,5,6,5,1,76,89,3
"2016-17",21600010,2016-10-26,"NOP","H",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600010,2016-10-26,"DEN","A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600011,2016-10-26,"PHI","H",0,0,240,97,6,2,11,5,2,75,95,3
"2016-17",21600011,2016-10-26,"OKC","A",0,0,240,103,7,5,6,6,2,69,94,3
"2016-17",21600012,2016-10-26,"PHX","H",0,0,240,94,1,2,4,5,1,67,85,3
"2016-17",21600012,2016-10-26,"SAC","A",0,0,240,113,1,2,26,4,1,84,110,3
"2016-17",21600013,2016-10-26,"HOU","A",0,0,240,114,4,4,10,5,1,96,112,3
"2016-17",21600013,2016-10-26,"LAL","H",0,0,240,120,5,9,6,4,2,90,113,3
"2016-17",21600014,2016-10-27,"ATL","H",0,0,240,114,10,7,19,4,1,81,107,4
"2016-17",21600014,2016-10-27,"WAS","A",0,0,240,99,9,7,6,6,2,80,93,4
"2016-17",21600015,2016-10-27,"BOS","A",1,0,240,99,1,0,1,5,1,73,95,4
"2016-17",21600015,2016-10-27,"CHI","H",0,0,240,105,1,0,15,4,2,79,99,4
"2016-17",21600016,2016-10-27,"SAC","H",1,0,240,94,1,2,11,4,0,71,89,4
"2016-17",21600016,2016-10-27,"SAS","A",1,0,240,102,2,3,11,4,0,76,96,4
"2016-17",21600017,2016-10-27,"LAC","A",0,0,240,114,5,7,15,4,2,82,107,4
"2016-17",21600017,2016-10-27,"POR","H",1,0,240,106,5,2,6,6,1,82,96,4
"2016-17",21600018,2016-10-28,"CLE","A",1,0,240,94,1,1,12,5,2,71,89,5
"2016-17",21600018,2016-10-28,"TOR","H",1,0,240,91,1,3,1,5,2,67,89,5
"2016-17",21600019,2016-10-28,"BKN","H",0,1,240,103,4,0,14,4,2,72,99,5
"2016-17",21600019,2016-10-28,"IND","A",1,0,240,94,4,5,10,5,1,79,89,5
"2016-17",21600020,2016-10-28,"ORL","A",0,1,240,82,1,1,1,5,1,51,74,5
"2016-17",21600020,2016-10-28,"DET","H",0,1,240,108,1,0,35,4,0,86,104,5
"2016-17",21600021,2016-10-28,"PHX","A",0,1,265,110,3,1,18,7,2,83,100,5
"2016-17",21600021,2016-10-28,"OKC","H",1,0,265,113,4,6,4,7,3,77,102,5
"2016-17",21600022,2016-10-28,"MIA","H",1,0,240,91,0,1,19,4,2,77,87,5
"2016-17",21600022,2016-10-28,"CHA","A",1,0,240,97,1,2,10,5,0,73,94,5
"2016-17",21600023,2016-10-28,"DAL","H",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2016-17",21600023,2016-10-28,"HOU","A",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2016-17",21600024,2016-10-28,"LAL","A",1,0,240,89,10,8,4,6,1,65,83,5
"2016-17",21600024,2016-10-28,"UTA","H",0,1,240,96,10,4,11,5,0,65,91,5
"2016-17",21600025,2016-10-28,"NOP","H",0,1,240,114,1,1,2,6,1,81,103,5
"2016-17",21600025,2016-10-28,"GSW","A",0,1,240,122,2,1,16,5,1,92,112,5
"2016-17",21600026,2016-10-29,"ATL","A",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600026,2016-10-29,"PHI","H",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600027,2016-10-29,"BOS","A",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600027,2016-10-29,"CHA","H",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600028,2016-10-29,"NYK","H",0,1,240,111,0,0,18,4,2,82,106,6
"2016-17",21600028,2016-10-29,"MEM","A",1,0,240,104,0,1,0,5,3,77,95,6
"2016-17",21600029,2016-10-29,"CLE","H",2,0,240,105,1,3,22,5,1,80,94,6
"2016-17",21600029,2016-10-29,"ORL","A",0,2,240,99,0,0,3,5,3,62,88,6
"2016-17",21600030,2016-10-29,"CHI","H",1,0,240,118,2,1,29,4,1,92,112,6
"2016-17",21600030,2016-10-29,"IND","A",1,1,240,101,2,6,2,4,1,67,101,6
"2016-17",21600031,2016-10-29,"MIL","H",0,1,240,110,4,1,11,4,1,80,106,6
"2016-17",21600031,2016-10-29,"BKN","A",1,1,240,108,4,8,1,4,0,73,99,6
"2016-17",21600032,2016-10-29,"NOP","A",0,2,240,79,1,2,3,4,0,60,77,6
"2016-17",21600032,2016-10-29,"SAS","H",2,0,240,98,2,2,27,4,0,83,98,6
"2016-17",21600033,2016-10-29,"DEN","H",1,0,265,113,2,2,12,6,5,88,104,6
"2016-17",21600033,2016-10-29,"POR","A",1,1,265,115,2,3,14,5,2,81,95,6
"2016-17",21600034,2016-10-29,"MIN","A",0,1,240,103,4,4,18,5,2,77,100,6
"2016-17",21600034,2016-10-29,"SAC","H",1,1,240,106,4,1,10,5,2,85,100,6
"2016-17",21600035,2016-10-30,"LAC","H",1,0,240,88,1,1,22,4,2,69,88,7
"2016-17",21600035,2016-10-30,"UTA","A",1,1,240,75,1,2,5,4,0,56,70,7
"2016-17",21600036,2016-10-30,"GSW","A",1,1,240,106,6,2,8,5,1,81,97,7
"2016-17",21600036,2016-10-30,"PHX","H",0,2,240,100,6,3,13,5,1,78,92,7
"2016-17",21600037,2016-10-30,"MIA","H",1,1,240,99,1,5,3,5,3,72,97,7
"2016-17",21600037,2016-10-30,"SAS","A",3,0,240,106,2,0,16,5,1,77,99,7
"2016-17",21600038,2016-10-30,"MIL","A",1,1,240,83,0,0,3,4,0,65,79,7
"2016-17",21600038,2016-10-30,"DET","H",1,1,240,98,1,1,16,4,0,75,95,7
"2016-17",21600039,2016-10-30,"MEM","H",1,1,265,112,8,2,15,5,1,78,93,7
"2016-17",21600039,2016-10-30,"WAS","A",0,1,265,103,8,5,8,6,2,77,96,7
"2016-17",21600040,2016-10-30,"LAL","A",1,1,240,96,3,2,8,5,1,71,91,7
"2016-17",21600040,2016-10-30,"OKC","H",2,0,240,113,3,3,19,4,1,77,106,7
"2016-17",21600041,2016-10-30,"DAL","A",0,2,240,92,1,1,3,5,3,70,87,7
"2016-17",21600041,2016-10-30,"HOU","H",1,1,240,93,2,1,17,5,0,80,91,7
"2016-17",21600042,2016-10-31,"DEN","A",1,1,240,102,4,0,6,6,1,84,101,1
"2016-17",21600042,2016-10-31,"TOR","H",1,1,240,105,4,4,19,5,1,88,101,1
"2016-17",21600043,2016-10-31,"CHI","A",2,0,240,118,0,0,33,4,0,93,114,1
"2016-17",21600043,2016-10-31,"BKN","H",1,2,240,88,0,3,0,4,1,66,84,1
"2016-17",21600044,2016-10-31,"ATL","H",2,0,240,106,2,1,13,3,1,79,102,1
"2016-17",21600044,2016-10-31,"SAC","A",2,1,240,95,2,3,6,5,1,81,93,1
"2016-17",21600045,2016-10-31,"LAC","H",2,0,240,116,6,3,22,3,0,82,113,1
"2016-17",21600045,2016-10-31,"PHX","A",0,3,240,98,5,3,3,6,0,70,94,1
"2016-17",21600046,2016-11-01,"ORL","A",0,3,240,103,2,4,2,6,2,84,97,2
"2016-17",21600046,2016-11-01,"PHI","H",0,2,240,101,1,1,18,5,2,87,99,2
