"","Event_Msg_Type","Action_Type","Event_Msg_Type_Description","Action_Type_Description"
"1",1,0,"Made Shot                               ","No Shot                                 "
"2",1,1,"Made Shot                               ","Jump Shot                               "
"3",1,3,"Made Shot                               ","Hook Shot                               "
"4",1,4,"Made Shot                               ","Tip Shot                                "
"5",1,5,"Made Shot                               ","Layup Shot                              "
"6",1,6,"Made Shot                               ","Driving Layup Shot                      "
"7",1,7,"Made Shot                               ","Dunk Shot                               "
"8",1,8,"Made Shot                               ","Slam Dunk Shot                          "
"9",1,9,"Made Shot                               ","Driving Dunk Shot                       "
"10",1,40,"Made Shot                               ","Layup Shot                              "
"11",1,41,"Made Shot                               ","Running Layup Shot                      "
"12",1,42,"Made Shot                               ","Driving Layup Shot                      "
"13",1,44,"Made Shot                               ","Reverse Layup Shot                      "
"14",1,45,"Made Shot                               ","Jump Shot                               "
"15",1,47,"Made Shot                               ","Turnaround Jump Shot                    "
"16",1,48,"Made Shot                               ","Dunk Shot                               "
"17",1,49,"Made Shot                               ","Driving Dunk Shot                       "
"18",1,50,"Made Shot                               ","Running Dunk Shot                       "
"19",1,52,"Made Shot                               ","Alley Oop Dunk Shot                     "
"20",1,54,"Made Shot                               ","Running Tip Shot                        "
"21",1,55,"Made Shot                               ","Hook Shot                               "
"22",1,56,"Made Shot                               ","Running Hook Shot                       "
"23",1,57,"Made Shot                               ","Driving Hook Shot                       "
"24",1,58,"Made Shot                               ","Turnaround Hook Shot                    "
"25",1,59,"Made Shot                               ","Finger Roll Shot                        "
"26",1,60,"Made Shot                               ","Running Finger Roll Shot                "
"27",1,62,"Made Shot                               ","Turnaround Finger Roll Shot             "
"28",1,63,"Made Shot                               ","Fadeaway Jump Shot                      "
"29",1,64,"Made Shot                               ","Follow Up Dunk Shot                     "
"30",1,65,"Made Shot                               ","Jump Hook Shot                          "
"31",1,66,"Made Shot                               ","Jump Bank Shot                          "
"32",1,67,"Made Shot                               ","Hook Bank Shot                          "
"33",2,0,"Missed Shot                             ","No Shot                                 "
"34",2,2,"Missed Shot                             ","Running Jump Shot                       "
"35",2,4,"Missed Shot                             ","Tip Shot                                "
"36",2,5,"Missed Shot                             ","Layup Shot                              "
"37",2,6,"Missed Shot                             ","Driving Layup Shot                      "
"38",2,7,"Missed Shot                             ","Dunk Shot                               "
"39",2,8,"Missed Shot                             ","Slam Dunk Shot                          "
"40",2,9,"Missed Shot                             ","Driving Dunk Shot                       "
"41",2,40,"Missed Shot                             ","Layup Shot                              "
"42",2,41,"Missed Shot                             ","Running Layup Shot                      "
"43",2,42,"Missed Shot                             ","Driving Layup Shot                      "
"44",2,43,"Missed Shot                             ","Alley Oop Layup shot                    "
"45",2,45,"Missed Shot                             ","Jump Shot                               "
"46",2,47,"Missed Shot                             ","Turnaround Jump Shot                    "
"47",2,48,"Missed Shot                             ","Dunk Shot                               "
"48",2,49,"Missed Shot                             ","Driving Dunk Shot                       "
"49",2,50,"Missed Shot                             ","Running Dunk Shot                       "
"50",2,51,"Missed Shot                             ","Reverse Dunk Shot                       "
"51",2,52,"Missed Shot                             ","Alley Oop Dunk Shot                     "
